# IDX        LATG        LATC        LONW          MU          TB
  159      -40.08      -34.40      157.79      0.5095       -1.47
  160      -40.00      -34.33      155.99      0.5125       -1.43
  161      -39.95      -34.28      154.20      0.5143       -1.27
  162      -39.94      -34.26      152.42      0.5150       -0.96
  163      -39.95      -34.28      150.63      0.5145       -0.62
  164      -39.99      -34.32      148.85      0.5128       -0.45
  165      -40.07      -34.39      147.05      0.5100       -0.61
  166      -40.18      -34.49      145.24      0.5059       -1.19
  167      -40.32      -34.62      143.42      0.5007       -2.18
  168      -40.49      -34.79      141.57      0.4942       -3.41
  169      -40.70      -34.98      139.70      0.4863       -4.55
  170      -40.94      -35.22      137.80      0.4771       -5.24
  171      -41.23      -35.49      135.86      0.4665       -5.26
  172      -41.55      -35.80      133.87      0.4543       -4.67
  173      -41.93      -36.16      131.83      0.4405       -3.75
  174      -42.35      -36.57      129.72      0.4249       -2.90
  175      -42.84      -37.03      127.53      0.4072       -2.48
  176      -43.38      -37.56      125.23      0.3873       -2.73
  177      -44.01      -38.17      122.81      0.3647       -3.60
  178      -44.73      -38.87      120.22      0.3391       -4.73
  179      -45.57      -39.69      117.42      0.3095       -5.55
  180      -46.57      -40.68      114.30      0.2749       -5.59
  181      -47.79      -41.90      110.72      0.2330       -4.79
  182      -49.42      -43.53      106.29      0.1789       -3.50
  183      -52.07      -46.24       99.56      0.0941       -2.21
  184      -48.20      -42.30      203.48      0.1513        0.49
  185      -46.22      -40.34      198.29      0.2184        0.44
  186      -44.82      -38.95      194.35      0.2676        0.24
  187      -43.70      -37.87      191.03      0.3073       -0.01
  188      -42.77      -36.97      188.09      0.3409       -0.23
  189      -41.97      -36.20      185.41      0.3701       -0.43
  190      -41.28      -35.54      182.92      0.3957       -0.64
  191      -40.67      -34.96      180.58      0.4184       -0.89
  192      -40.13      -34.45      178.36      0.4386       -1.13
  193      -39.65      -33.99      176.22      0.4567       -1.35
  194      -39.23      -33.59      174.17      0.4729       -1.59
  195      -38.85      -33.24      172.18      0.4873       -1.94
