# IDX        LATG        LATC        LONW          MU          TB
  274      -49.38      -43.49       58.97      0.2513        3.23
  275      -49.65      -43.77       58.06      0.2441        3.29
  276      -49.95      -44.07       57.14      0.2364        3.41
  277      -50.27      -44.39       56.18      0.2281        3.45
  278      -50.62      -44.75       55.20      0.2190        3.14
  279      -51.00      -45.14       54.18      0.2093        2.45
  280      -51.42      -45.57       53.12      0.1986        1.65
  281      -51.88      -46.04       52.01      0.1870        1.16
  282      -52.40      -46.57       50.84      0.1741        1.08
  283      -52.98      -47.17       49.59      0.1598        1.20
  284      -53.65      -47.87       48.23      0.1435        1.27
  285      -54.44      -48.70       46.72      0.1246        1.17
  286      -55.42      -49.73       44.98      0.1015        0.95
  287      -56.78      -51.18       42.75      0.0703        0.68
  288      -55.77      -50.10      110.60      0.0743        0.34
  289      -54.39      -48.64      108.31      0.1066       -0.63
  290      -53.38      -47.60      106.51      0.1307       -1.73
  291      -52.57      -46.75      104.97      0.1506       -2.69
  292      -51.89      -46.05      103.58      0.1677       -3.32
  293      -51.29      -45.43      102.30      0.1828       -3.61
  294      -50.75      -44.88      101.11      0.1964       -3.60
  295      -50.27      -44.40       99.99      0.2087       -3.30
  296      -49.84      -43.95       98.92      0.2200       -2.74
  297      -49.44      -43.55       97.89      0.2304       -2.10
  298      -49.07      -43.18       96.90      0.2401       -1.60
  299      -48.73      -42.84       95.94      0.2490       -1.36
  300      -48.42      -42.53       95.00      0.2574       -1.44
  301      -48.13      -42.23       94.10      0.2652       -1.69
  302      -47.86      -41.97       93.21      0.2724       -1.71
  303      -47.61      -41.71       92.34      0.2792       -1.17
  304      -47.38      -41.48       91.49      0.2855       -0.16
  305      -47.16      -41.27       90.65      0.2915        0.87
  306      -46.96      -41.07       89.83      0.2970        1.56
  307      -46.77      -40.88       89.02      0.3021        1.85
  308      -46.60      -40.71       88.22      0.3070        1.98
  309      -46.43      -40.55       87.43      0.3114        2.23
  310      -46.29      -40.40       86.65      0.3156        2.54
  311      -46.15      -40.26       85.87      0.3194        2.63
  312      -46.02      -40.14       85.11      0.3229        2.56
  313      -45.90      -40.02       84.35      0.3261        2.65
  314      -45.80      -39.92       83.59      0.3291        3.05
  315      -45.70      -39.82       82.85      0.3317        3.40
  316      -45.62      -39.74       82.10      0.3341        3.28
  317      -45.54      -39.67       81.36      0.3363        2.64
  318      -45.48      -39.60       80.63      0.3381        1.74
  319      -45.42      -39.54       79.89      0.3398        0.83
  320      -45.37      -39.50       79.16      0.3411        0.09
  321      -45.33      -39.46       78.43      0.3422       -0.30
  322      -45.30      -39.43       77.70      0.3431       -0.17
  323      -45.28      -39.41       76.98      0.3437        0.35
  324      -45.27      -39.39       76.25      0.3440        0.85
  325      -45.26      -39.39       75.53      0.3442        1.04
  326      -45.27      -39.39       74.80      0.3440        1.00
  327      -45.28      -39.41       74.08      0.3437        0.88
  328      -45.30      -39.43       73.35      0.3431        0.79
  329      -45.33      -39.46       72.63      0.3422        0.90
  330      -45.37      -39.50       71.90      0.3411        1.37
  331      -45.42      -39.55       71.17      0.3397        2.13
  332      -45.48      -39.60       70.43      0.3381        2.94
  333      -45.54      -39.67       69.70      0.3362        3.72
  334      -45.62      -39.74       68.96      0.3341        4.70
  335      -45.71      -39.83       68.21      0.3317        6.05
