# VLA smeared map of saturn, X band, 2.5 - 3.76 cm, 8 - 12 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      10.8      11.0      3.58      0.32      0.95     0.034        37
      11.0      11.2      3.49      0.35      0.93     0.032        22
      11.2      11.4      3.65      0.35      0.95     0.023        22
      11.4      11.6      3.41      0.20      0.96     0.029        39
      11.6      11.8      3.58      0.33      0.94     0.019        16
      11.8      12.0      3.46      0.37      0.94     0.025        22
      12.0      12.2      3.15      0.40      0.96     0.022        26
      12.2      12.4      3.22      0.34      0.96     0.029        31
      12.4      12.6      3.16      0.35      0.94     0.026        22
      12.6      12.8      2.92      0.32      0.94     0.031        24
      12.8      13.0      2.65      0.51      0.97     0.020        37
      13.0      13.2      2.88      0.24      0.94     0.023        18
      13.2      13.4      2.49      0.29      0.94     0.034        26
      13.4      13.6      2.16      0.52      0.96     0.030        30
      13.6      13.8      2.15      0.41      0.95     0.035        35
      13.8      14.0      2.06      0.31      0.94     0.031        20
      14.0      14.2      1.74      0.50      0.94     0.036        28
      14.2      14.4      1.50      0.45      0.97     0.024        37
      14.4      14.6      1.55      0.28      0.94     0.026        20
      14.6      14.8      1.27      0.41      0.96     0.023        22
      14.8      15.0      1.00      0.46      0.96     0.030        34
      15.0      15.2      1.04      0.31      0.95     0.032        25
      15.2      15.4      0.97      0.27      0.95     0.025        24
      15.4      15.6      0.64      0.43      0.96     0.033        28
      15.6      15.8      0.57      0.34      0.97     0.024        31
      15.8      16.0      0.67      0.25      0.94     0.030        24
      16.0      16.2      0.42      0.35      0.95     0.031        24
      16.2      16.4      0.18      0.42      0.96     0.036        45
      16.4      16.6      0.38      0.29      0.94     0.031        18
      16.6      16.8      0.20      0.41      0.95     0.035        26
      16.8      17.0     -0.06      0.42      0.97     0.025        30
      17.0      17.2     -0.21      0.49      0.97     0.031        33
      17.2      17.4     -0.07      0.42      0.95     0.026        20
      17.4      17.6     -0.14      0.34      0.96     0.033        28
      17.6      17.8     -0.57      0.49      0.98     0.024        33
      17.8      18.0     -0.14      0.41      0.95     0.025        22
      18.0      18.2     -0.22      0.39      0.96     0.031        24
      18.2      18.4     -0.49      0.45      0.98     0.028        41
      18.4      18.6     -0.23      0.41      0.94     0.034        24
      18.6      18.8     -0.19      0.39      0.96     0.030        20
      18.8      19.0     -0.23      0.34      0.97     0.029        34
      19.0      19.2     -0.32      0.36      0.97     0.031        33
      19.2      19.4     -0.11      0.31      0.96     0.026        20
      19.4      19.6     -0.09      0.25      0.97     0.023        24
      19.6      19.8     -0.19      0.18      0.97     0.032        37
      19.8      20.0     -0.17      0.11      0.96     0.023        20
      20.0      20.2     -0.18      0.26      0.95     0.038        28
      20.2      20.4     -0.11      0.17      0.98     0.028        41
      20.4      20.6     -0.25      0.16      0.95     0.025        22
      20.6      20.8     -0.30      0.25      0.96     0.030        22
      20.8      21.0     -0.17      0.36      0.96     0.033        32
      21.0      21.2     -0.38      0.39      0.96     0.041        35
      21.2      21.4     -0.48      0.39      0.96     0.026        22
      21.4      21.6     -0.45      0.50      0.96     0.030        28
      21.6      21.8     -0.44      0.46      0.97     0.032        37
      21.8      22.0     -0.69      0.35      0.97     0.018        18
      22.0      22.2     -0.84      0.53      0.96     0.029        24
      22.2      22.4     -0.72      0.65      0.97     0.040        45
      22.4      22.6     -1.04      0.60      0.95     0.030        18
      22.6      22.8     -1.10      0.58      0.95     0.033        28
      22.8      23.0     -0.87      0.44      0.98     0.025        30
      23.0      23.2     -1.00      0.59      0.97     0.031        29
      23.2      23.4     -1.29      0.58      0.95     0.037        24
      23.4      23.6     -1.16      0.35      0.97     0.025        28
      23.6      23.8     -0.91      0.53      0.98     0.029        33
      23.8      24.0     -1.47      0.52      0.95     0.031        22
      24.0      24.2     -1.31      0.48      0.96     0.030        28
      24.2      24.4     -1.07      0.60      0.97     0.036        41
      24.4      24.6     -1.51      0.35      0.96     0.022        20
      24.6      24.8     -1.37      0.48      0.97     0.022        22
      24.8      25.0     -1.29      0.60      0.97     0.036        42
      25.0      25.2     -1.56      0.34      0.97     0.023        17
      25.2      25.4     -1.63      0.45      0.96     0.025        24
      25.4      25.6     -1.66      0.49      0.96     0.036        32
      25.6      25.8     -1.72      0.48      0.96     0.035        35
      25.8      26.0     -1.95      0.30      0.96     0.026        20
      26.0      26.2     -1.89      0.33      0.97     0.022        26
      26.2      26.4     -1.94      0.42      0.97     0.036        37
      26.4      26.6     -2.13      0.32      0.96     0.023        20
      26.6      26.8     -2.15      0.33      0.96     0.031        26
      26.8      27.0     -2.09      0.41      0.97     0.037        45
      27.0      27.2     -2.18      0.44      0.94     0.031        20
      27.2      27.4     -2.17      0.32      0.95     0.032        28
      27.4      27.6     -2.13      0.38      0.97     0.035        38
      27.6      27.8     -1.91      0.50      0.96     0.031        21
      27.8      28.0     -1.98      0.38      0.96     0.023        22
      28.0      28.2     -1.98      0.31      0.96     0.029        32
      28.2      28.4     -1.70      0.43      0.96     0.038        35
      28.4      28.6     -1.73      0.59      0.94     0.040        28
      28.6      28.8     -1.55      0.31      0.96     0.034        28
      28.8      29.0     -1.38      0.43      0.97     0.034        37
      29.0      29.2     -1.37      0.44      0.95     0.025        22
      29.2      29.4     -1.00      0.54      0.95     0.036        28
      29.4      29.6     -0.79      0.39      0.97     0.031        37
      29.6      29.8     -0.72      0.74      0.94     0.033        24
      29.8      30.0     -0.41      0.47      0.96     0.029        24
      30.0      30.2     -0.07      0.36      0.97     0.024        39
      30.2      30.4      0.01      0.62      0.95     0.024        18
      30.4      30.6      0.37      0.79      0.95     0.035        28
      30.6      30.8      0.54      0.49      0.96     0.029        32
      30.8      31.0      0.88      0.74      0.96     0.034        29
      31.0      31.2      1.15      0.96      0.94     0.034        26
      31.2      31.4      1.27      0.85      0.95     0.035        30
      31.4      31.6      1.53      0.59      0.97     0.027        29
      31.6      31.8      1.81      1.11      0.94     0.037        30
      31.8      32.0      1.99      1.05      0.95     0.037        24
      32.0      32.2      2.22      0.76      0.96     0.030        41
      32.2      32.4      2.40      1.04      0.94     0.033        22
      32.4      32.6      2.70      0.99      0.96     0.022        22
      32.6      32.8      2.93      0.90      0.96     0.036        41
      32.8      33.0      3.08      0.88      0.95     0.022        20
      33.0      33.2      3.27      0.94      0.95     0.026        22
      33.2      33.4      3.55      0.84      0.96     0.034        41
      33.4      33.6      3.71      1.03      0.93     0.038        22
      33.6      33.8      3.75      0.82      0.95     0.025        24
      33.8      34.0      4.08      0.77      0.96     0.022        28
      34.0      34.2      4.21      0.80      0.95     0.036        31
      34.2      34.4      4.27      0.74      0.95     0.022        22
      34.4      34.6      4.50      0.66      0.95     0.031        26
      34.6      34.8      4.70      0.75      0.95     0.030        37
      34.8      35.0      4.75      0.67      0.94     0.030        20
      35.0      35.2      5.13      0.75      0.95     0.025        26
      35.2      35.4      5.13      0.73      0.95     0.034        35
      35.4      35.6      5.37      0.70      0.93     0.025        22
      35.6      35.8      5.63      0.82      0.93     0.033        26
      35.8      36.0      5.94      0.70      0.96     0.022        37
      36.0      36.2      6.06      0.85      0.92     0.032        18
      36.2      36.4      6.28      0.73      0.92     0.037        30
      36.4      36.6      6.81      0.76      0.94     0.037        43
      36.6      36.8      7.13      0.83      0.93     0.026        20
      36.8      37.0      7.22      0.61      0.94     0.022        20
      37.0      37.2      7.78      0.57      0.95     0.025        28
