# VLA smeared map of saturn, K band, 1.15 - 1.67 cm, 18 - 26 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      31.6      31.8      1.49      0.45      0.98     0.027        13
      31.8      32.2      1.87      0.44      0.94     0.030        10
      32.2      32.6      1.96      0.27      0.96     0.027        14
      32.6      32.8      1.64      0.27      0.97     0.029        12
      32.8      33.0      1.55      0.35      0.97     0.028        11
      33.0      33.4      1.87      0.25      0.94     0.032        16
      33.4      33.8      1.76      0.19      0.96     0.018        12
      33.8      34.0      1.40      0.09      0.98     0.010        14
      34.0      34.4      1.75      0.12      0.94     0.019        10
      34.4      34.8      1.65      0.16      0.95     0.027        14
      34.8      35.0      1.49      0.12      0.95     0.028        12
      35.0      35.2      1.32      0.10      0.97     0.021        14
      35.2      35.6      1.48      0.13      0.93     0.027        12
      35.6      36.0      1.39      0.16      0.94     0.028        14
      36.0      36.2      1.29      0.08      0.97     0.016         9
      36.2      36.4      1.21      0.13      0.96     0.028        12
      36.4      36.8      1.26      0.17      0.94     0.018        10
      36.8      37.0      1.19      0.21      0.93     0.031         8
      37.0      37.2      1.12      0.19      0.95     0.025         9
      37.2      37.4      1.21      0.07      0.96     0.022        13
      37.4      37.6      0.77      0.54      0.91     0.064         9
      37.6      38.0      0.95      0.33      0.91     0.035        15
      38.0      38.4      0.91      0.17      0.95     0.016        14
      38.4      38.6      1.04      0.29      0.95     0.027        15
      38.6      39.0      0.62      0.36      0.92     0.028        12
      39.0      39.4      0.67      0.22      0.93     0.035        14
      39.4      39.8      0.60      0.33      0.94     0.035        27
      39.8      40.2      0.45      0.28      0.91     0.040        10
      40.2      40.6      0.23      0.18      0.93     0.026        16
      40.6      40.8      0.36      0.23      0.94     0.029        12
      40.8      41.2      0.36      0.24      0.94     0.023        13
      41.2      41.6      0.37      0.20      0.91     0.031        14
      41.6      41.8      0.49      0.18      0.92     0.040         8
      41.8      42.0      0.80      0.22      0.94     0.021        14
      42.0      42.4      0.87      0.27      0.90     0.028        10
      42.4      42.8      1.15      0.28      0.92     0.019        12
      42.8      43.0      1.61      0.33      0.92     0.028        12
      43.0      43.2      1.98      0.28      0.93     0.027        13
      43.2      43.6      2.19      0.47      0.91     0.018        10
      43.6      43.8      2.51      0.50      0.90     0.031         8
      43.8      44.0      2.70      0.57      0.91     0.030         8
      44.0      44.2      2.98      0.54      0.91     0.041        14
      44.2      44.6      3.15      0.55      0.91     0.034        15
      44.6      45.0      3.15      0.50      0.90     0.019        10
      45.0      45.2      3.16      0.54      0.91     0.030        10
      45.2      45.4      3.31      0.46      0.91     0.032        17
      45.4      45.8      2.59      0.30      0.86     0.051         9
      45.8      46.0      3.06      0.66      0.87     0.050         9
      46.0      46.4      2.25      0.15      0.91     0.017        14
      46.4      46.6      2.06      0.10      0.91     0.026        13
      46.6      47.0      1.55      0.21      0.89     0.016         8
      47.0      47.2      1.25      0.26      0.88     0.030         8
