# VLA smeared map of saturn, Q band, 0.62 - 0.75 cm, 40 - 48.4 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -26.8     -26.7     -0.83      0.66      0.60     0.010         4
     -26.7     -26.5     -0.68      0.54      0.61     0.009         6
     -26.5     -26.4     -0.31      0.79      0.59     0.023         5
     -26.4     -26.2     -0.25      0.42      0.61     0.015        12
     -26.2     -26.1     -0.66      0.37      0.62     0.015         6
     -26.1     -26.0     -0.35      0.58      0.63     0.008         8
     -26.0     -25.9     -0.14      0.53      0.63     0.015        14
     -25.9     -25.8     -0.16      0.66      0.62     0.016         9
     -25.8     -25.6      0.23      0.72      0.62     0.010         6
     -25.6     -25.5      1.08      0.72      0.61     0.017         4
     -25.5     -25.4      0.80      0.59      0.61     0.016         6
     -25.4     -25.3      0.61      0.54      0.63     0.010         6
     -25.3     -25.2      0.50      0.67      0.62     0.017         8
     -25.2     -25.1      1.87      1.91      0.59     0.053         6
     -25.1     -25.0      0.44      0.93      0.62     0.042        10
     -25.0     -24.9      0.04      0.48      0.65     0.007        15
     -24.9     -24.8      1.03      1.02      0.62     0.010         4
     -24.8     -24.7      1.08      1.04      0.62     0.009         4
     -24.7     -24.6      0.52      0.22      0.64     0.001         4
     -24.6     -24.4      1.12      0.96      0.63     0.016        10
     -24.4     -24.3      0.89      0.99      0.64     0.011         4
     -24.3     -24.2      0.99      1.04      0.64     0.017         8
     -24.2     -24.1      1.88      2.01      0.62     0.035         7
     -24.1     -24.0      0.62      1.30      0.64     0.026        14
     -24.0     -23.9     -0.08      0.96      0.65     0.017        12
     -23.9     -23.8      1.36      1.05      0.64     0.010         6
     -23.8     -23.7      2.14      1.43      0.63     0.017         6
     -23.7     -23.6      2.24      1.63      0.63     0.016         6
     -23.6     -23.5      1.38      1.14      0.65     0.009         6
     -23.5     -23.4      3.49      1.72      0.61     0.047         7
     -23.4     -23.3      2.14      1.48      0.63     0.035         7
     -23.3     -23.2      0.90      1.14      0.66     0.008         8
     -23.2     -23.1      0.98      1.83      0.66     0.017        10
     -23.1     -23.0     -0.27      1.12      0.67     0.007        15
     -23.0     -22.9      2.54      1.11      0.65     0.010         4
     -22.9     -22.8      2.57      1.18      0.65     0.009         4
     -22.8     -22.7      2.25      1.42      0.66     0.007         5
     -22.7     -22.6      3.33      1.63      0.64     0.024         5
     -22.6     -22.5      3.85      1.32      0.65     0.023         5
     -22.5     -22.4      2.79      1.16      0.67     0.010         6
     -22.4     -22.3      3.00      1.78      0.66     0.017         8
     -22.3     -22.2      2.18      2.04      0.67     0.016        10
     -22.2     -22.1      1.70      2.13      0.67     0.025        16
     -22.1     -22.0      2.30      2.41      0.67     0.018        10
     -22.0     -21.8      4.07      1.18      0.66     0.014         8
     -21.8     -21.7      3.77      1.28      0.67     0.010         6
     -21.7     -21.6      4.36      1.45      0.67     0.010         4
     -21.6     -21.5      3.94      1.57      0.68     0.009         6
     -21.5     -21.4      3.15      1.66      0.65     0.035         6
     -21.4     -21.3      2.66      1.45      0.68     0.026         9
     -21.3     -21.2      2.57      1.68      0.68     0.022        12
     -21.2     -21.1      2.61      1.84      0.69     0.015        13
     -21.1     -21.0      4.77      2.80      0.66     0.032         4
     -21.0     -20.9      4.86      1.54      0.66     0.021         7
     -20.9     -20.8      4.39      1.75      0.67     0.021         9
     -20.8     -20.7      3.94      1.97      0.68     0.010         4
     -20.7     -20.6      3.09      1.79      0.69     0.009         6
     -20.6     -20.5      2.22      0.90      0.68     0.016         8
     -20.5     -20.4      2.04      0.98      0.69     0.016        10
     -20.4     -20.3      1.89      0.74      0.70     0.020         8
     -20.3     -20.2      2.28      1.11      0.68     0.040        15
     -20.2     -20.1      3.98      1.29      0.69     0.001         4
     -20.1     -20.0      3.31      1.80      0.68     0.016         6
     -20.0     -19.9      3.75      1.27      0.69     0.010         6
     -19.9     -19.7      0.78      1.77      0.69     0.018        14
     -19.7     -19.6     -0.52      1.20      0.69     0.016         8
     -19.6     -19.5     -0.47      1.15      0.70     0.016        10
     -19.5     -19.4     -0.13      0.77      0.71     0.021        14
     -19.4     -19.3      0.51      0.66      0.71     0.016        11
     -19.3     -19.2      1.32      0.35      0.70     0.001         4
     -19.2     -19.1      1.08      1.52      0.69     0.017         4
     -19.1     -19.0      1.63      0.48      0.71     0.008         5
     -19.0     -18.9     -0.08      0.82      0.66     0.046         6
     -18.9     -18.8     -2.15      1.12      0.70     0.017         8
     -18.8     -18.7     -4.05      1.02      0.72     0.009         8
     -18.7     -18.6     -3.54      1.15      0.71     0.021        10
     -18.6     -18.5     -3.07      0.92      0.72     0.017        13
     -18.5     -18.4     -1.91      1.01      0.71     0.023        12
     -18.4     -18.3     -1.29      0.44      0.70     0.011         4
     -18.3     -18.2     -1.35      0.59      0.70     0.016         6
     -18.2     -18.1     -1.69      0.96      0.70     0.021         9
     -18.1     -18.0     -3.13      2.06      0.71     0.030         6
     -18.0     -17.9     -4.80      1.60      0.72     0.010         6
     -17.9     -17.8     -5.67      1.61      0.73     0.010         6
     -17.8     -17.7     -4.87      1.65      0.73     0.015        12
     -17.7     -17.6     -4.60      1.18      0.73     0.013        19
     -17.6     -17.4     -2.95      1.31      0.70     0.022         9
     -17.4     -17.3     -2.84      1.33      0.70     0.029         9
     -17.3     -17.2     -3.09      2.62      0.71     0.028         9
     -17.2     -17.1     -3.27      2.61      0.72     0.016         6
     -17.1     -17.0     -4.01      1.86      0.71     0.036        11
     -17.0     -16.9     -4.12      1.99      0.72     0.019        11
     -16.9     -16.8     -5.53      0.80      0.75     0.001         8
     -16.8     -16.7     -4.72      1.23      0.74     0.018        15
     -16.7     -16.6     -3.74      1.51      0.72     0.015         5
     -16.6     -16.5     -3.59      1.90      0.72     0.024         8
     -16.5     -16.4     -3.69      2.16      0.73     0.018         8
     -16.4     -16.3     -4.02      2.07      0.73     0.010         4
     -16.3     -16.2     -3.12      1.85      0.73     0.016         8
     -16.2     -16.1     -3.26      1.48      0.74     0.016        10
     -16.1     -16.0     -4.48      0.94      0.75     0.009         8
     -16.0     -15.9     -3.77      1.19      0.75     0.021        21
     -15.9     -15.8     -3.93      1.75      0.73     0.010         6
     -15.8     -15.7     -2.88      1.73      0.72     0.017         6
     -15.7     -15.6     -3.67      1.59      0.74     0.010         6
     -15.6     -15.4     -2.84      1.48      0.74     0.015        12
     -15.4     -15.3     -2.77      1.27      0.75     0.017        10
     -15.3     -15.2     -2.52      1.88      0.74     0.024        10
     -15.2     -15.1     -2.77      1.60      0.75     0.027        17
     -15.1     -15.0     -3.07      0.80      0.76     0.019        13
     -15.0     -14.9     -2.22      1.52      0.73     0.016         6
     -14.9     -14.8     -2.84      1.28      0.75     0.009         6
     -14.8     -14.7     -2.16      1.17      0.75     0.017         8
     -14.7     -14.6     -2.42      1.22      0.76     0.010         6
     -14.6     -14.5     -2.46      1.08      0.76     0.010         6
     -14.5     -14.4     -1.99      1.42      0.75     0.024        10
     -14.4     -14.3     -2.19      1.12      0.76     0.015        12
     -14.3     -14.2     -2.08      0.77      0.77     0.009        17
     -14.2     -14.1     -1.73      0.88      0.75     0.011         4
     -14.1     -14.0     -1.33      0.94      0.75     0.015         5
     -14.0     -13.9     -2.09      0.64      0.74     0.030         8
     -13.9     -13.8     -0.94      1.13      0.75     0.021         8
     -13.8     -13.7     -1.12      0.69      0.75     0.024        11
     -13.7     -13.6     -0.34      1.26      0.75     0.035         8
     -13.6     -13.5     -0.94      0.91      0.77     0.027        13
     -13.5     -13.4     -0.29      0.86      0.76     0.038        18
     -13.4     -13.3     -0.51      0.22      0.77     0.021         7
     -13.3     -13.2      0.22      1.06      0.74     0.029         7
     -13.2     -13.1     -0.43      0.61      0.75     0.030         8
     -13.1     -13.0     -0.01      0.76      0.77     0.010         4
     -13.0     -12.9      0.39      0.68      0.76     0.030         8
     -12.9     -12.8      0.77      0.82      0.77     0.020        10
     -12.8     -12.7      0.71      1.15      0.78     0.015        12
     -12.7     -12.6      0.95      0.74      0.78     0.023        16
     -12.6     -12.5      0.95      0.75      0.78     0.023        13
     -12.5     -12.3      0.74      1.67      0.77     0.010        10
     -12.3     -12.2      1.17      2.00      0.78     0.015         7
     -12.2     -12.1      1.11      1.82      0.77     0.028         9
     -12.1     -12.0      1.12      1.51      0.77     0.023        10
     -12.0     -11.9      0.96      1.94      0.77     0.043        12
     -11.9     -11.8      1.47      1.40      0.78     0.027        18
     -11.8     -11.7      1.87      1.39      0.79     0.022        15
     -11.7     -11.6      1.01      2.23      0.77     0.021         8
     -11.6     -11.4      0.95      2.81      0.77     0.025        13
     -11.4     -11.3      1.19      2.27      0.77     0.035         8
     -11.3     -11.2      0.35      2.49      0.79     0.015         7
     -11.2     -11.1      1.23      0.99      0.79     0.029        10
     -11.1     -11.0      0.84      1.97      0.79     0.021        18
     -11.0     -10.9      1.72      2.02      0.80     0.014        13
     -10.9     -10.8     -0.53      2.59      0.77     0.030         6
     -10.8     -10.7     -0.29      2.90      0.78     0.033         8
     -10.7     -10.6      0.30      3.13      0.80     0.001         4
     -10.6     -10.5     -1.18      2.47      0.78     0.024        10
     -10.5     -10.4     -1.48      2.52      0.80     0.017         8
     -10.4     -10.3     -1.39      2.17      0.79     0.024        12
     -10.3     -10.2     -0.46      2.29      0.81     0.018        16
     -10.2     -10.1      0.17      2.40      0.81     0.014        13
     -10.1     -10.0     -2.75      2.91      0.80     0.009         5
     -10.0      -9.9     -1.79      2.71      0.79     0.017         7
      -9.9      -9.8     -2.34      2.68      0.80     0.017         8
      -9.8      -9.7     -2.76      2.36      0.79     0.024        10
      -9.7      -9.6     -3.09      2.54      0.80     0.017         8
      -9.6      -9.5     -2.79      2.41      0.81     0.016        10
      -9.5      -9.4     -2.16      2.73      0.81     0.018        16
      -9.4      -9.3     -1.50      2.14      0.80     0.032        17
      -9.3      -9.2     -3.25      2.82      0.80     0.014         7
      -9.2      -9.0     -2.90      2.51      0.80     0.022        15
      -9.0      -8.9     -2.19      2.96      0.79     0.042        10
      -8.9      -8.8     -2.61      2.52      0.80     0.051        10
      -8.8      -8.7     -2.58      2.49      0.81     0.022        14
      -8.7      -8.6     -1.19      1.81      0.83     0.006        11
      -8.6      -8.5     -1.72      2.09      0.83     0.015        11
      -8.5      -8.4     -1.66      3.34      0.80     0.030         8
      -8.4      -8.3     -2.76      2.69      0.82     0.010         6
      -8.3      -8.2     -1.67      2.54      0.80     0.024         9
