# IDX        LATG        LATC        LONW          MU          TB
  283      -38.50      -32.91      192.43      0.3622      151.40
  284      -37.65      -32.12      189.72      0.3947      159.12
  285      -36.91      -31.43      187.22      0.4234      164.89
  286      -36.25      -30.82      184.88      0.4491      169.05
  287      -35.66      -30.28      182.65      0.4721      172.02
  288      -35.14      -29.80      180.53      0.4929      174.16
  289      -34.67      -29.37      178.49      0.5117      175.71
  290      -34.24      -28.98      176.52      0.5287      176.81
  291      -33.85      -28.63      174.61      0.5441      177.57
  292      -33.51      -28.31      172.75      0.5581      178.05
  293      -33.20      -28.03      170.93      0.5706      178.31
  294      -32.92      -27.78      169.14      0.5818      178.35
  295      -32.67      -27.56      167.39      0.5918      178.17
  296      -32.46      -27.36      165.66      0.6006      177.79
  297      -32.27      -27.19      163.96      0.6083      177.29
  298      -32.11      -27.05      162.28      0.6149      176.86
  299      -31.97      -26.92      160.61      0.6204      176.70
  300      -31.86      -26.82      158.95      0.6249      176.93
  301      -31.77      -26.75      157.31      0.6284      177.47
  302      -31.71      -26.69      155.67      0.6309      178.13
  303      -31.67      -26.66      154.04      0.6324      178.67
  304      -31.66      -26.65      152.41      0.6330      178.94
  305      -31.67      -26.66      150.78      0.6326      178.90
  306      -31.71      -26.69      149.15      0.6312      178.63
  307      -31.76      -26.74      147.51      0.6288      178.30
  308      -31.85      -26.81      145.87      0.6255      178.09
  309      -31.95      -26.91      144.21      0.6211      178.12
  310      -32.08      -27.03      142.55      0.6157      178.38
  311      -32.24      -27.17      140.86      0.6093      178.71
  312      -32.43      -27.34      139.16      0.6017      178.91
  313      -32.64      -27.53      137.44      0.5931      178.83
  314      -32.88      -27.75      135.69      0.5833      178.39
  315      -33.16      -27.99      133.91      0.5722      177.67
  316      -33.46      -28.27      132.10      0.5599      176.87
  317      -33.80      -28.58      130.24      0.5462      176.26
  318      -34.18      -28.92      128.34      0.5310      175.99
  319      -34.60      -29.31      126.38      0.5142      176.04
  320      -35.07      -29.74      124.35      0.4956      176.24
  321      -35.59      -30.21      122.24      0.4752      176.36
  322      -36.17      -30.74      120.03      0.4524      176.24
  323      -36.81      -31.34      117.71      0.4272      175.73
  324      -37.54      -32.02      115.23      0.3990      174.59
  325      -38.37      -32.79      112.56      0.3670      172.18
  326      -39.33      -33.69      109.62      0.3304      167.17
  327      -40.48      -34.78      106.30      0.2874      157.51
  328      -41.91      -36.15      102.36      0.2345      141.25
  329      -43.91      -38.07       97.15      0.1626      117.88
  330      -45.93      -40.04      219.16      0.0236       90.87
  331      -41.59      -35.84      208.40      0.1773      107.62
  332      -39.68      -34.02      203.40      0.2481      123.14
  333      -38.28      -32.71      199.55      0.3012      136.61
  334      -37.15      -31.65      196.28      0.3448      147.68
  335      -36.19      -30.76      193.38      0.3821      156.38
  336      -35.36      -30.00      190.74      0.4147      162.96
  337      -34.62      -29.33      188.29      0.4437      167.79
  338      -33.97      -28.73      185.98      0.4697      171.22
  339      -33.38      -28.20      183.79      0.4931      173.59
  340      -32.86      -27.72      181.70      0.5144      175.21
  341      -32.38      -27.29      179.69      0.5337      176.38
  342      -31.95      -26.90      177.75      0.5513      177.29
  343      -31.56      -26.55      175.86      0.5673      178.04
  344      -31.20      -26.23      174.02      0.5818      178.65
  345      -30.88      -25.95      172.22      0.5949      179.10
  346      -30.59      -25.69      170.46      0.6068      179.34
  347      -30.34      -25.46      168.74      0.6174      179.37
  348      -30.11      -25.26      167.03      0.6269      179.19
  349      -29.90      -25.08      165.35      0.6353      178.80
  350      -29.73      -24.92      163.70      0.6426      178.21
  351      -29.57      -24.79      162.05      0.6489      177.48
  352      -29.45      -24.67      160.42      0.6542      176.80
  353      -29.34      -24.58      158.81      0.6585      176.38
  354      -29.26      -24.51      157.20      0.6618      176.43
  355      -29.21      -24.46      155.60      0.6642      176.94
  356      -29.17      -24.43      154.00      0.6657      177.72
  357      -29.16      -24.42      152.41      0.6662      178.48
  358      -29.17      -24.42      150.81      0.6658      178.99
  359      -29.20      -24.45      149.22      0.6645      179.14
  360      -29.25      -24.50      147.61      0.6622      178.98
  361      -29.33      -24.57      146.01      0.6590      178.69
  362      -29.43      -24.66      144.39      0.6548      178.48
  363      -29.56      -24.77      142.77      0.6497      178.52
  364      -29.70      -24.90      141.13      0.6435      178.84
  365      -29.88      -25.05      139.47      0.6364      179.33
  366      -30.08      -25.23      137.79      0.6281      179.77
  367      -30.30      -25.43      136.09      0.6188      179.93
  368      -30.56      -25.66      134.37      0.6083      179.67
  369      -30.84      -25.91      132.61      0.5966      178.98
  370      -31.15      -26.19      130.82      0.5837      178.03
  371      -31.50      -26.51      128.99      0.5694      177.11
  372      -31.89      -26.85      127.11      0.5536      176.50
  373      -32.32      -27.24      125.17      0.5363      176.29
  374      -32.79      -27.66      123.17      0.5172      176.41
  375      -33.31      -28.13      121.09      0.4962      176.64
  376      -33.88      -28.65      118.92      0.4731      176.73
  377      -34.53      -29.24      116.63      0.4475      176.46
  378      -35.25      -29.90      114.20      0.4190      175.60
  379      -36.06      -30.65      111.59      0.3869      173.65
  380      -37.00      -31.52      108.73      0.3503      169.56
  381      -38.11      -32.55      105.53      0.3078      161.50
  382      -39.47      -33.82      101.78      0.2563      147.36
  383      -41.28      -35.54       97.00      0.1889      126.04
  384      -44.59      -38.73       88.70      0.0700       98.84
  385      -42.51      -36.71      217.15      0.0753       92.09
  386      -39.26      -33.62      209.00      0.1950      108.76
  387      -37.45      -31.93      204.25      0.2638      124.40
  388      -36.08      -30.67      200.51      0.3165      138.38
  389      -34.97      -29.65      197.32      0.3602      150.20
  390      -34.02      -28.78      194.47      0.3978      159.57
  391      -33.20      -28.03      191.86      0.4308      166.48
  392      -32.47      -27.37      189.44      0.4603      171.19
  393      -31.81      -26.78      187.16      0.4868      174.14
  394      -31.22      -26.25      184.99      0.5108      175.85
  395      -30.69      -25.78      182.92      0.5327      176.83
  396      -30.21      -25.35      180.93      0.5526      177.45
  397      -29.77      -24.95      179.00      0.5707      177.94
  398      -29.36      -24.60      177.13      0.5873      178.42
  399      -29.00      -24.28      175.31      0.6024      178.95
  400      -28.67      -23.99      173.53      0.6162      179.55
  401      -28.37      -23.72      171.79      0.6287      180.12
  402      -28.10      -23.48      170.08      0.6400      180.53
  403      -27.86      -23.27      168.39      0.6502      180.68
  404      -27.64      -23.08      166.73      0.6593      180.55
  405      -27.45      -22.91      165.09      0.6673      180.17
  406      -27.28      -22.77      163.47      0.6743      179.60
  407      -27.14      -22.64      161.86      0.6803      178.86
  408      -27.02      -22.54      160.27      0.6854      177.95
  409      -26.92      -22.45      158.68      0.6896      177.00
  410      -26.85      -22.38      157.11      0.6928      176.23
  411      -26.79      -22.34      155.54      0.6951      175.93
  412      -26.76      -22.31      153.97      0.6965      176.23
  413      -26.75      -22.30      152.40      0.6970      177.02
  414      -26.76      -22.30      150.84      0.6966      177.99
  415      -26.79      -22.33      149.27      0.6953      178.82
  416      -26.84      -22.38      147.70      0.6931      179.30
  417      -26.91      -22.44      146.13      0.6901      179.42
  418      -27.01      -22.52      144.54      0.6861      179.33
  419      -27.12      -22.63      142.95      0.6811      179.20
  420      -27.26      -22.75      141.35      0.6752      179.20
  421      -27.43      -22.89      139.73      0.6683      179.41
  422      -27.61      -23.06      138.09      0.6605      179.77
  423      -27.83      -23.24      136.43      0.6515      180.13
  424      -28.06      -23.45      134.75      0.6415      180.26
  425      -28.33      -23.69      133.04      0.6304      179.98
