# IDX        LATG        LATC        LONW          MU          TB
  432      -47.69      -41.80       53.08      0.2576      130.46
  433      -48.05      -42.16       52.11      0.2479      128.20
  434      -48.44      -42.55       51.10      0.2375      125.17
  435      -48.87      -42.97       50.05      0.2262      121.12
  436      -49.33      -43.44       48.95      0.2141      116.31
  437      -49.84      -43.95       47.79      0.2008      111.05
  438      -50.40      -44.53       46.56      0.1861      105.11
  439      -51.04      -45.18       45.24      0.1698       98.35
  440      -51.77      -45.93       43.79      0.1513       91.46
  441      -52.65      -46.83       42.15      0.1296       85.11
  442      -53.75      -47.97       40.20      0.1028       78.77
  443      -55.35      -49.65       37.57      0.0651       71.38
  444      -55.62      -49.94      117.24      0.0396       70.35
  445      -53.42      -47.63      113.71      0.0916       84.92
  446      -52.14      -46.31      111.50      0.1228       97.50
  447      -51.17      -45.31      109.71      0.1472      107.90
  448      -50.37      -44.49      108.16      0.1677      115.70
  449      -49.68      -43.79      106.77      0.1856      120.47
  450      -49.07      -43.18      105.48      0.2015      122.58
  451      -48.53      -42.63      104.28      0.2159      123.41
  452      -48.03      -42.14      103.15      0.2291      124.39
  453      -47.58      -41.69      102.07      0.2413      126.15
  454      -47.17      -41.27      101.03      0.2526      128.40
  455      -46.78      -40.89      100.04      0.2631      130.59
  456      -46.43      -40.54       99.07      0.2729      132.32
  457      -46.09      -40.21       98.14      0.2820      133.55
  458      -45.78      -39.90       97.23      0.2907      134.27
  459      -45.49      -39.62       96.35      0.2988      134.32
  460      -45.22      -39.35       95.48      0.3064      133.54
  461      -44.97      -39.10       94.63      0.3136      132.52
  462      -44.73      -38.87       93.80      0.3204      132.53
  463      -44.50      -38.65       92.98      0.3267      134.17
  464      -44.29      -38.44       92.18      0.3328      136.58
  465      -44.09      -38.25       91.39      0.3384      138.55
  466      -43.91      -38.07       90.60      0.3437      139.71
  467      -43.73      -37.90       89.83      0.3488      140.32
  468      -43.57      -37.74       89.07      0.3535      140.64
  469      -43.42      -37.59       88.32      0.3579      140.74
  470      -43.27      -37.45       87.57      0.3620      140.66
  471      -43.14      -37.33       86.83      0.3658      140.50
