# Bin Radiances of Band b1: 3.3 - 3e+03
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
     1.26e+03    1.26e+03     112.653       0.001
     1.26e+03    1.26e+03     112.725       0.001
     1.26e+03    1.26e+03     112.787       0.001
     1.27e+03    1.27e+03     112.840       0.001
     1.27e+03    1.27e+03     112.886       0.001
     1.27e+03    1.27e+03     112.925       0.001
     1.28e+03    1.28e+03     112.959       0.001
     1.28e+03    1.28e+03     112.986       0.001
     1.28e+03    1.28e+03     113.009       0.001
     1.29e+03    1.29e+03     113.028       0.001
     1.29e+03    1.29e+03     113.043       0.001
     1.29e+03    1.29e+03     113.055       0.001
     1.29e+03    1.29e+03     113.063       0.001
      1.3e+03     1.3e+03     113.069       0.001
      1.3e+03     1.3e+03     113.072       0.001
      1.3e+03     1.3e+03     113.072       0.001
     1.31e+03    1.31e+03     113.070       0.001
     1.31e+03    1.31e+03     113.065       0.001
     1.31e+03    1.31e+03     113.058       0.001
     1.32e+03    1.32e+03     113.049       0.001
     1.32e+03    1.32e+03     113.039       0.001
     1.32e+03    1.32e+03     113.027       0.001
     1.32e+03    1.32e+03     113.014       0.001
     1.33e+03    1.33e+03     112.999       0.001
     1.33e+03    1.33e+03     112.983       0.001
     1.33e+03    1.33e+03     112.965       0.001
     1.34e+03    1.34e+03     112.946       0.001
     1.34e+03    1.34e+03     112.926       0.001
     1.34e+03    1.34e+03     112.905       0.001
     1.35e+03    1.35e+03     112.882       0.001
     1.35e+03    1.35e+03     112.859       0.001
     1.35e+03    1.35e+03     112.834       0.001
     1.35e+03    1.35e+03     112.809       0.001
     1.36e+03    1.36e+03     112.783       0.001
     1.36e+03    1.36e+03     112.756       0.001
     1.36e+03    1.36e+03     112.728       0.001
     1.37e+03    1.37e+03     112.700       0.001
     1.37e+03    1.37e+03     112.670       0.001
     1.37e+03    1.37e+03     112.640       0.001
     1.38e+03    1.38e+03     112.610       0.001
     1.38e+03    1.38e+03     112.578       0.001
     1.38e+03    1.38e+03     112.547       0.001
     1.38e+03    1.38e+03     112.516       0.001
     1.39e+03    1.39e+03     112.485       0.001
     1.39e+03    1.39e+03     112.452       0.001
     1.39e+03    1.39e+03     112.420       0.001
      1.4e+03     1.4e+03     112.387       0.001
      1.4e+03     1.4e+03     112.353       0.001
      1.4e+03     1.4e+03     112.319       0.001
     1.41e+03    1.41e+03     112.285       0.001
     1.41e+03    1.41e+03     112.250       0.001
     1.41e+03    1.41e+03     112.215       0.001
     1.41e+03    1.41e+03     112.179       0.001
     1.42e+03    1.42e+03     112.143       0.001
     1.42e+03    1.42e+03     112.107       0.001
     1.42e+03    1.42e+03     112.071       0.001
     1.43e+03    1.43e+03     112.034       0.001
     1.43e+03    1.43e+03     111.997       0.001
     1.43e+03    1.43e+03     111.960       0.001
     1.44e+03    1.44e+03     111.922       0.001
     1.44e+03    1.44e+03     111.884       0.001
     1.44e+03    1.44e+03     111.848       0.001
     1.44e+03    1.44e+03     111.811       0.001
     1.45e+03    1.45e+03     111.774       0.001
     1.45e+03    1.45e+03     111.737       0.001
     1.45e+03    1.45e+03     111.699       0.001
     1.46e+03    1.46e+03     111.662       0.001
     1.46e+03    1.46e+03     111.624       0.001
     1.46e+03    1.46e+03     111.586       0.001
     1.47e+03    1.47e+03     111.548       0.001
     1.47e+03    1.47e+03     111.509       0.001
     1.47e+03    1.47e+03     111.471       0.001
     1.47e+03    1.47e+03     111.434       0.001
     1.48e+03    1.48e+03     111.396       0.001
     1.48e+03    1.48e+03     111.357       0.001
     1.48e+03    1.48e+03     111.319       0.001
     1.49e+03    1.49e+03     111.281       0.001
     1.49e+03    1.49e+03     111.242       0.001
     1.49e+03    1.49e+03     111.204       0.001
      1.5e+03     1.5e+03     111.165       0.001
      1.5e+03     1.5e+03     111.126       0.001
      1.5e+03     1.5e+03     111.087       0.001
      1.5e+03     1.5e+03     111.048       0.001
     1.51e+03    1.51e+03     111.009       0.001
     1.51e+03    1.51e+03     110.969       0.001
     1.51e+03    1.51e+03     110.930       0.001
     1.52e+03    1.52e+03     110.891       0.001
     1.52e+03    1.52e+03     110.851       0.001
     1.52e+03    1.52e+03     110.811       0.001
     1.53e+03    1.53e+03     110.772       0.001
     1.53e+03    1.53e+03     110.732       0.001
     1.53e+03    1.53e+03     110.693       0.001
     1.53e+03    1.53e+03     110.654       0.001
     1.54e+03    1.54e+03     110.615       0.001
     1.54e+03    1.54e+03     110.576       0.001
     1.54e+03    1.54e+03     110.537       0.001
     1.55e+03    1.55e+03     110.497       0.001
     1.55e+03    1.55e+03     110.458       0.001
     1.55e+03    1.55e+03     110.418       0.001
     1.56e+03    1.56e+03     110.379       0.001
